order_id,product,quantity,price,city
101,Laptop,1,65000,Bangalore
102,Mouse,2,1200,Delhi
103,Keyboard,1,3500,Mumbai
104,Monitor,2,14000,Chennai
105,Headphones,3,2500,Bangalore
106,Chair,1,8500,Hyderabad
107,Desk,1,12000,Pune
108,Mousepad,4,450,Delhi
109,Webcam,2,4200,Mumbai
110,Microphone,1,6800,Bangalore
111,Laptop,2,65000,Delhi
112,Mouse,5,1200,Hyderabad
113,Keyboard,2,3500,Chennai
114,Monitor,1,14000,Pune
115,Headphones,1,2500,Delhi
116,Chair,2,8500,Bangalore
117,Desk,1,12000,Mumbai
118,Mousepad,3,450,Chennai
119,Webcam,1,4200,Hyderabad
120,Microphone,2,6800,Pune
121,Laptop,1,65000,Mumbai
122,Mouse,3,1200,Bangalore
123,Keyboard,1,3500,Delhi
124,Monitor,3,14000,Hyderabad
125,Headphones,2,2500,Chennai
126,Chair,1,8500,Pune
127,Desk,2,12000,Bangalore
128,Mousepad,5,450,Mumbai
129,Webcam,2,4200,Delhi
130,Microphone,1,6800,Chennai
