product_id,product_name,category,brand,price,rating,stock,discount,discount_amount,final_price
PROD_001,Product 1,Accessories,Logitech,34106,2.7,42,25,8526.5,25579.5
PROD_002,Product 2,Keyboard,Dell,13034,3.4,44,15,1955.1,11078.9
PROD_003,Product 3,Monitor,Asus,96163,4.2,24,20,19232.6,76930.4
PROD_004,Product 4,Accessories,Logitech,41897,4.2,15,20,8379.4,33517.6
PROD_005,Product 5,Headphones,Apple,92887,4.0,32,15,13933.05,78953.95
PROD_006,Product 6,Monitor,Asus,2516,3.2,32,20,503.2,2012.8
PROD_007,Product 7,Monitor,Samsung,91289,3.9,24,15,13693.35,77595.65
PROD_008,Product 8,Accessories,Sony,57091,3.5,41,10,5709.1,51381.9
PROD_009,Product 9,Mobile,Apple,91312,4.9,49,15,13696.8,77615.2
PROD_010,Product 10,Headphones,Sony,24747,4.6,49,15,3712.05,21034.95
PROD_011,Product 11,Accessories,Boat,25800,4.3,12,20,5160.0,20640.0
PROD_012,Product 12,Headphones,Samsung,75565,3.1,39,20,15113.0,60452.0
PROD_013,Product 13,Headphones,Samsung,84298,3.1,2,5,4214.9,80083.1
PROD_014,Product 14,Monitor,Apple,10768,2.6,3,5,538.4,10229.6
PROD_015,Product 15,Keyboard,Samsung,88307,4.3,49,10,8830.7,79476.3
PROD_016,Product 16,Headphones,Logitech,13685,2.8,37,5,684.25,13000.75
PROD_017,Product 17,Tablet,Samsung,65204,3.6,49,15,9780.6,55423.4
PROD_018,Product 18,Monitor,Sony,88279,3.0,17,20,17655.8,70623.2
PROD_019,Product 19,Mobile,Sony,40599,4.7,49,5,2029.95,38569.05
PROD_020,Product 20,Keyboard,Asus,10071,3.7,2,5,503.55,9567.45
PROD_021,Product 21,Tablet,Sony,107012,3.9,2,10,10701.2,96310.8
PROD_022,Product 22,Tablet,Asus,39544,4.2,28,10,3954.4,35589.6
PROD_023,Product 23,Mobile,Sony,52714,2.8,23,15,7907.1,44806.9
PROD_024,Product 24,Keyboard,Logitech,62728,4.0,37,20,12545.6,50182.4
PROD_025,Product 25,Monitor,HP,116252,3.8,32,10,11625.2,104626.8
PROD_026,Product 26,Laptop,Asus,50484,3.0,33,5,2524.2,47959.8
PROD_027,Product 27,Keyboard,Dell,42274,4.9,1,20,8454.8,33819.2
PROD_028,Product 28,Mobile,Boat,4068,4.0,19,20,813.6,3254.4
PROD_029,Product 29,Tablet,Apple,64092,4.2,2,5,3204.6,60887.4
PROD_030,Product 30,Monitor,Sony,69063,4.7,44,10,6906.3,62156.7
PROD_031,Product 31,Keyboard,Samsung,4195,4.1,26,5,209.75,3985.25
PROD_032,Product 32,Laptop,HP,49690,3.2,32,20,9938.0,39752.0
PROD_033,Product 33,Laptop,Sony,6758,2.8,6,25,1689.5,5068.5
PROD_034,Product 34,Headphones,Samsung,89038,3.6,32,25,22259.5,66778.5
PROD_035,Product 35,Headphones,Boat,41004,3.0,4,15,6150.6,34853.4
PROD_036,Product 36,Accessories,Boat,34659,3.5,11,5,1732.95,32926.05
PROD_037,Product 37,Mobile,Boat,15486,4.7,17,5,774.3,14711.7
PROD_038,Product 38,Keyboard,Samsung,63358,3.3,38,15,9503.7,53854.3
PROD_039,Product 39,Keyboard,Sony,14166,2.8,24,15,2124.9,12041.1
PROD_040,Product 40,Accessories,Boat,40160,3.4,5,15,6024.0,34136.0
PROD_041,Product 41,Tablet,Logitech,5061,4.8,34,20,1012.2,4048.8
PROD_042,Product 42,Tablet,Asus,28354,3.2,6,5,1417.7,26936.3
PROD_043,Product 43,Accessories,Samsung,66005,4.1,22,20,13201.0,52804.0
PROD_044,Product 44,Tablet,Samsung,105988,2.5,11,15,15898.2,90089.8
PROD_045,Product 45,Headphones,Sony,53751,3.4,48,5,2687.55,51063.45
PROD_046,Product 46,Keyboard,Samsung,24162,3.3,16,20,4832.4,19329.6
PROD_047,Product 47,Accessories,Samsung,9892,2.9,33,20,1978.4,7913.6
PROD_048,Product 48,Keyboard,Boat,32035,3.8,9,15,4805.25,27229.75
PROD_049,Product 49,Laptop,Sony,80103,3.7,6,5,4005.15,76097.85
PROD_050,Product 50,Headphones,Boat,115069,4.2,16,15,17260.35,97808.65
