product_id,product_name,category,brand,price,rating,stock,discount
PROD_001,Product 1,Accessories,Logitech,34106,2.7,42,25
PROD_002,Product 2,Keyboard,Dell,13034,3.4,44,15
PROD_003,Product 3,Monitor,Asus,96163,4.2,24,20
PROD_004,Product 4,Accessories,Logitech,41897,4.2,15,20
PROD_005,Product 5,Headphones,Apple,92887,4.0,32,15
PROD_006,Product 6,Monitor,Asus,2516,3.2,32,20
PROD_007,Product 7,Monitor,Samsung,91289,3.9,24,15
PROD_008,Product 8,Accessories,Sony,57091,3.5,41,10
PROD_009,Product 9,Mobile,Apple,91312,4.9,49,15
PROD_010,Product 10,Headphones,Sony,24747,4.6,49,15
PROD_011,Product 11,Accessories,Boat,25800,4.3,12,20
PROD_012,Product 12,Headphones,Samsung,75565,3.1,39,20
PROD_013,Product 13,Headphones,Samsung,84298,3.1,2,5
PROD_014,Product 14,Monitor,Apple,10768,2.6,3,5
PROD_015,Product 15,Keyboard,Samsung,88307,4.3,49,10
PROD_016,Product 16,Headphones,Logitech,13685,2.8,37,5
PROD_017,Product 17,Tablet,Samsung,65204,3.6,49,15
PROD_018,Product 18,Monitor,Sony,88279,3.0,17,20
PROD_019,Product 19,Mobile,Sony,40599,4.7,49,5
PROD_020,Product 20,Keyboard,Asus,10071,3.7,2,5
PROD_021,Product 21,Tablet,Sony,107012,3.9,2,10
PROD_022,Product 22,Tablet,Asus,39544,4.2,28,10
PROD_023,Product 23,Mobile,Sony,52714,2.8,23,15
PROD_024,Product 24,Keyboard,Logitech,62728,4.0,37,20
PROD_025,Product 25,Monitor,HP,116252,3.8,32,10
PROD_026,Product 26,Laptop,Asus,50484,3.0,33,5
PROD_027,Product 27,Keyboard,Dell,42274,4.9,1,20
PROD_028,Product 28,Mobile,Boat,4068,4.0,19,20
PROD_029,Product 29,Tablet,Apple,64092,4.2,2,5
PROD_030,Product 30,Monitor,Sony,69063,4.7,44,10
PROD_031,Product 31,Keyboard,Samsung,4195,4.1,26,5
PROD_032,Product 32,Laptop,HP,49690,3.2,32,20
PROD_033,Product 33,Laptop,Sony,6758,2.8,6,25
PROD_034,Product 34,Headphones,Samsung,89038,3.6,32,25
PROD_035,Product 35,Headphones,Boat,41004,3.0,4,15
PROD_036,Product 36,Accessories,Boat,34659,3.5,11,5
PROD_037,Product 37,Mobile,Boat,15486,4.7,17,5
PROD_038,Product 38,Keyboard,Samsung,63358,3.3,38,15
PROD_039,Product 39,Keyboard,Sony,14166,2.8,24,15
PROD_040,Product 40,Accessories,Boat,40160,3.4,5,15
PROD_041,Product 41,Tablet,Logitech,5061,4.8,34,20
PROD_042,Product 42,Tablet,Asus,28354,3.2,6,5
PROD_043,Product 43,Accessories,Samsung,66005,4.1,22,20
PROD_044,Product 44,Tablet,Samsung,105988,2.5,11,15
PROD_045,Product 45,Headphones,Sony,53751,3.4,48,5
PROD_046,Product 46,Keyboard,Samsung,24162,3.3,16,20
PROD_047,Product 47,Accessories,Samsung,9892,2.9,33,20
PROD_048,Product 48,Keyboard,Boat,32035,3.8,9,15
PROD_049,Product 49,Laptop,Sony,80103,3.7,6,5
PROD_050,Product 50,Headphones,Boat,115069,4.2,16,15
