category,priority,total_tickets,avg_resolution_mins,max_resolution_mins
Account,Critical,1,254.0,254
Account,High,1,198.0,198
Account,Low,1,161.0,161
Account,Medium,4,181.0,213
Course,Critical,1,308.0,308
Course,High,1,111.0,111
Course,Low,6,178.66666666666666,266
Course,Medium,4,162.0,266
Login,Critical,2,183.0,201
Login,High,5,188.2,340
Login,Low,3,152.33333333333334,322
Payment,Critical,1,113.0,113
Payment,High,1,352.0,352
Payment,Low,1,158.0,158
Payment,Medium,3,230.66666666666666,339
Refund,High,4,261.25,312
Refund,Low,3,285.3333333333333,357
Refund,Medium,2,210.0,234
Technical,Critical,1,277.0,277
Technical,High,1,239.0,239
Technical,Low,1,273.0,273
Technical,Medium,3,273.0,338
